wall_time,stamp_sec,x,y,z,yaw
1782.4,1782.384,8.74480848656886,-1.4250568947994422,-0.00023430911759993178,-0.7950719679793388
1782.6000000000001,1782.584,8.74967713637714,-1.429886542867646,-0.00022088748809623304,-0.795480490457177
1782.8000000000002,1782.784,8.754619006186381,-1.4345833117079927,-0.00023689535709349452,-0.7926610630665046
1783.0,1782.984,8.759628721827099,-1.439406796840965,-0.00024279608490869464,-0.7910206170268483
1783.2,1783.184,8.764460387174035,-1.4442311097580296,-0.00023992275566347976,-0.7955667306419093
1783.4,1783.384,8.76938655071628,-1.4491492912654131,-0.00023134720573872447,-0.800549992094971
1783.6000000000001,1783.584,8.774384076794362,-1.4540635823185775,-0.00024287720101012766,-0.8046200617009931
1783.8000000000002,1783.784,8.77918576926196,-1.459002400414311,-0.00024599750391149366,-0.8076410395807107
1784.0,1783.984,8.784117941767779,-1.4638988913978488,-0.0002474096232810141,-0.8080381164474257
1784.2,1784.184,8.788936063160484,-1.4686663677912843,-0.00025487966024276276,-0.8090696742993653
1784.4,1784.384,8.793831010748967,-1.4735772105424734,-0.00026254826496766026,-0.8096985366679088
1784.6000000000001,1784.584,8.798767625310319,-1.4785055013504682,-0.00026671077320306047,-0.8096792129818737
1784.8000000000002,1784.784,8.803512934402258,-1.4833683926393617,-0.00027760564888958117,-0.8111050762338462
1785.0,1784.984,8.808329114778754,-1.4882121361581424,-0.00028729850548556146,-0.8097753803522747
1785.2,1785.184,8.813058352648245,-1.4931014870388535,-0.0002620812202288464,-0.8111553260840187
1785.4,1785.384,8.817801205217933,-1.4980347796868976,-0.00027710844698704273,-0.812307126743625
1785.6000000000001,1785.584,8.822637322354995,-1.5028656071045114,-0.0002733321235955377,-0.8103434196175047
1785.8000000000002,1785.784,8.827406442339715,-1.5076193422606212,-0.00028068293952390744,-0.8090880722227113
1786.0,1785.984,8.832135761634191,-1.512409115530751,-0.00027914434876849525,-0.8079458324573322
1786.2,1786.184,8.836820647182236,-1.517264830178645,-0.0002843314433473576,-0.8047314926918409
1786.4,1786.384,8.841543139725173,-1.5220713146494813,-0.0002839768453406777,-0.8020957786737986
1786.6000000000001,1786.584,8.846410792352845,-1.5268657454014096,-0.00028420147814742225,-0.8015902146550496
1786.8000000000002,1786.784,8.851333046657407,-1.531722030854788,-0.0002789053199067082,-0.8026143260136904
1787.0,1786.984,8.856223614438491,-1.536551665801626,-0.00029449949297669087,-0.8035205739654893
1787.2,1787.184,8.861012473103068,-1.5413400373243196,-0.00028866890215402397,-0.8058028710312328
1787.4,1787.384,8.86495773437792,-1.5452059490730243,-0.00028120603382872367,-0.8096348152808841
1787.6000000000001,1787.584,8.865268965649543,-1.5451474753129422,-0.00028413854082559586,-0.8127883798298928
1787.8000000000002,1787.784,8.865565510270535,-1.545090050007512,-0.0002947788344340174,-0.815920592748397
1788.0,1787.984,8.865217633388594,-1.543883948953555,-0.00028853732936375,-0.8586092312271066
1788.2,1788.184,8.865137641496355,-1.5436278631122622,-0.00027155642542397995,-0.9084478423073624
1788.4,1788.384,8.864592958128556,-1.5432129745810514,-0.00029844353493665987,-0.9535261656818556
1788.6000000000001,1788.584,8.864131372531055,-1.5424614019501637,-0.00029456935480137725,-0.9934081570016757
1788.8000000000002,1788.784,8.864024307548375,-1.5417957489136112,-0.0002929406438619969,-1.028260225873077
1789.0,1788.984,8.86393423415976,-1.541625108541839,-0.0002717393209101665,-1.0633896915205154
1789.2,1789.184,8.863943133649927,-1.541375371168548,-0.00029484022309182734,-1.0959225102717958
1789.4,1789.384,8.863803982673145,-1.5411863400364534,-0.0003190587319171212,-1.12484819941308
1789.6000000000001,1789.584,8.863594621832883,-1.5409861302499295,-0.0003001316257271319,-1.1509164598419879
1789.8000000000002,1789.784,8.863315221458885,-1.540889509721598,-0.00028506334904467023,-1.176644385156041
1790.0,1789.984,8.86313707016004,-1.540835190648832,-0.00027040222480331777,-1.2004568575106247
1790.2,1790.184,8.86309616240939,-1.540852392445493,-0.0002984754104369547,-1.2226478607974218
1790.4,1790.384,8.862920388799228,-1.540761401794145,-0.00028889950526928,-1.2403221915347264
1790.6000000000001,1790.584,8.862923729674048,-1.5409687452070637,-0.00028106907425516636,-1.2610650314668301
1790.8000000000002,1790.784,8.862993337560246,-1.5412027194203937,-0.0002944391645842842,-1.278077339017128
1791.0,1790.984,8.862962399840429,-1.5410753481114507,-0.0002858875532716354,-1.2923103823128614
